     Volumenbilanz
  ------------------------------------------- 
 
                         1              11            9220               0            9220            9220              12               0
    Name:           Zulauf         Auslauf     Restvolumen         Schacht       source-in       feflow-in  NiederschlagZR          H-Rand
    Zeit     Volumen in m3
----------------------------------------
 
    0.0000  0.77468160E-02 -0.42951758E-01  0.33375367E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.54086125E-01  0.00000000E+00
    0.0278  0.12797541E+02 -0.73919508E+02  0.33658372E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.89348890E+02  0.00000000E+00
    0.0556  0.25603985E+02 -0.14712714E+03  0.33948398E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.17875994E+03  0.00000000E+00
    0.0833  0.38402845E+02 -0.21877371E+03  0.34253704E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.26811803E+03  0.00000000E+00
    0.1111  0.51200347E+02 -0.29029369E+03  0.34560273E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.35746665E+03  0.00000000E+00
    0.1389  0.64002433E+02 -0.36209803E+03  0.34864592E+04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.44684727E+03  0.00000000E+00
