DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 9220
NC 18046
NAME "Geschw_0"
TIMEUNITS seconds
TS 0 1000
-0.002000             0.02600
 0.000000             0.00000
 0.000000             0.00000
-0.007000             0.00800
-0.000000             0.00100
-0.000000             0.00000
-0.008000             0.02400
 0.000000             0.00000
-0.010000             0.03000
-0.000000             0.00000
 0.000000             0.00000
-0.000000             0.00000
-0.014000             0.02800
-0.000000             0.00000
-0.000000             0.00000
-0.000000             0.00000
 0.000000             0.00000
-0.008000             0.00400
 0.000000            -0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.012000             0.02300
 0.004000             0.01100
 0.000000             0.00000
 0.000000             0.00000
-0.010000             0.01000
 0.000000            -0.00000
 0.000000             0.00000
 0.029000            -0.00700
-0.006000             0.01200
 0.000000             0.00000
 0.000000             0.00000
-0.010000             0.01200
 0.000000             0.00000
-0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
-0.000000             0.00000
-0.000000             0.00200
-0.000000             0.00000
 0.000000             0.00000
-0.000000            -0.00000
-0.006000             0.00100
-0.007000             0.00300
 0.002000            -0.00100
 0.000000             0.00000
 0.002000             0.00200
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.023000             0.00300
 0.000000             0.00000
 0.016000             0.00600
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
-0.016000             0.01200
 0.025000            -0.02000
 0.003000            -0.01000
 0.000000             0.00000
-0.000000             0.00000
 0.000000             0.00000
 0.013000             0.02000
-0.004000             0.00600
-0.002000            -0.00300
 0.001000             0.00000
 0.000000             0.00000
 0.000000             0.00000
-0.001000             0.00200
 0.000000             0.01600
 0.004000             0.02600
 0.000000             0.00000
-0.001000             0.01200
-0.000000            -0.00000
-0.012000            -0.00100
 0.000000             0.00000
 0.000000             0.00000
-0.000000             0.00000
 0.008000            -0.00100
 0.008000             0.00200
 0.005000             0.00800
 0.000000             0.00000
 0.003000            -0.00100
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
-0.004000            -0.00500
 0.000000             0.00000
 0.105000            -0.10300
 0.000000            -0.00000
 0.000000             0.00000
 0.038000            -0.06700
 0.022000             0.00200
 0.036000             0.00600
 0.034000            -0.00200
 0.000000             0.00000
 0.039000             0.01600
 0.000000            -0.00000
 0.000000            -0.00100
 0.035000            -0.01100
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000            -0.00000
 0.000000             0.00000
 0.006000             0.00700
 0.000000             0.00000
 0.000000            -0.00000
 0.017000             0.00100
 0.000000            -0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.001000             0.00500
 0.003000             0.00800
 0.000000             0.00000
 0.000000             0.00000
 0.010000             0.01000
 0.000000            -0.00000
 0.003000             0.00200
 0.008000             0.01500
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.009000             0.00100
 0.000000            -0.00000
 0.000000             0.00000
 0.002000             0.00200
 0.012000             0.00800
 0.005000             0.00500
 0.000000             0.00000
 0.017000            -0.00000
 0.017000            -0.00100
 0.000000            -0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.089000            -0.09100
 0.019000            -0.03100
 0.000000            -0.00000
 0.000000             0.00000
 0.000000            -0.00000
 0.000000             0.00000
-0.002000             0.00600
 0.000000             0.00000
-0.040000            -0.03700
 0.000000             0.00000
 0.002000            -0.00500
 0.003000            -0.00500
-0.012000            -0.01700
 0.000000             0.00000
 0.000000            -0.00000
 0.024000            -0.12100
-0.016000            -0.03900
-0.075000            -0.12600
 0.053000            -0.09000
 0.071000            -0.09800
-0.008000            -0.06800
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000             0.00000
 0.000000            -0.00000
